,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
184,34472974,Alam 2021,Coding-Complete Sequence of a SARS-CoV-2 B.1.1.25 Lineage Obtained from an 8-Day-Old Deceased Neonate,2021, Bangladesh,,1,GenBank; GISAID,Yes,Text,Yes,No,No,Text,No,No,Yes,No,No,No,No,Text
183,33509990,Al-Rashedi 2021,Genome Sequencing of a Novel Coronavirus SARS-CoV-2 Isolate from Iraq,2021, iraq,,1,GenBank; GISAID; Sequence read archive (SRA),Yes,Text,Yes,Yes,Yes,Text,No,No,No,Yes,Yes,No,No,Text
182,33359061,Al-Mahruqi 2021,Molecular epidemiology of COVID-19 in Oman: A molecular and surveillance study for the early transmission of COVID-19 in the country,2020, Oman,,94,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,No,No,No,No,
181,34949225,Al-Jawabreh 2021,Complete genome sequencing of SARS-CoV-2 strains: A pilot survey in Palestine reveals spike mutation H245N,2021, Palestine,,10,GenBank; GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text,No,No,No,No,Yes,No,No,Text
178,34264100,Afrad 2021,Genome Sequences of 15 SARS-CoV-2 Sublineage B.1.617.2 Strains in Bangladesh,, Bangladesh,,15,GenBank; GISAID; Sequence read archive (SRA),Yes,Text; Table; Figure,Yes,No,Yes,Text,No,No,No,No,Yes,No,Yes,Text
177,33707329,Adnan 2021,Coding-Complete Genome Sequences and Mutation Profiles of Nine SARS-CoV-2 Strains Detected from COVID-19 Patients in Bangladesh,2021,India,,9,GenBank; GISAID; Sequence read archive (SRA),Yes,Text; Table,Yes,No,No,Text,No,No,No,No,No,No,No,
175,33937733,Abu-Raddad 2021,SARS-CoV-2 antibody-positivity protects against reinfection for at least seven months with 95% efficacy,2021, Qatar,,23,Not Reported,No,,Yes,Yes,No,Text; Table,No,No,No,No,No,No,No,
171,33835177,Abdalhamid 2021,Genome Analysis for Sequence Variants in SARS-CoV-2 Among Asymptomatic Individuals in a Long-term Care Facility,2021,United States,,7,GISAID,Yes,Table,Yes,Yes,No,Text,No,No,Yes,Yes,Yes,No,No,Text
170,33737349,Aanniz 2021,First Report of a SARS-CoV-2 Genome Sequence with a Spike His69-Val70 Deletion and an Asn439Lys Mutation in Morocco,2021, Morocco,,1,GenBank; GISAID; Sequence read archive (SRA),Yes,Text,No,Yes,No,Text,No,No,No,No,No,No,No,
15,32422201,Böhmer 2020,Investigation of a COVID-19 outbreak in Germany resulting from a single travel-associated primary case: a case series,2020, Germany,,13,GenBank,Yes,Table,Yes,Yes,No,Text,No,Yes,Yes,No,Yes,No,No,Text; table
14,32650631,Beetz 2020,Rapid Large-Scale COVID-19 Testing During Shortages,2020, Germany,,4,GISAID,No,Text,Yes,Yes,No,Text; Figure,No,No,No,No,Yes,No,No,Text; Figure
13,32459984,Bartolini 2020,"SARS-CoV-2 Phylogenetic Analysis, Lazio Region, Italy, February-March 2020",2020, Italy,,9,GISAID,Yes,Text,Yes,Yes,No,Table,No,No,No,No,Yes,No,No,Text
10,32732237,Au 2020,Genome Sequences of SARS-CoV-2 Strains Detected in Hong Kong,2020, Hong Kong,,3,GenBank; GISAID; Sequence read archive (SRA); BioProject; BioSample,Yes,Text,Yes,Yes,No,Text,No,Yes,Yes,Yes,Yes,Yes,No,Text
8,32329971,Arons 2020,Presymptomatic SARS-CoV-2 Infections and Transmission in a Skilled Nursing Facility,2020,United States,,39,GenBank; GISAID,Yes,Supplemental materials,Yes,Yes,No,Table; Supplemental,Yes,No,No,No,Yes,No,No,table; Supplemental
7,33111751,Araujo 2020,SARS-CoV-2 isolation from the first reported patients in Brazil and establishment of a coordinated task network,2020,Brazil,,2,GenBank,Yes,Text,Yes,Yes,No,Text; Table,No,Yes,No,No,Yes,Yes,No,Text; table
